id,city_id,"name"
718,59,"MARMARAEREĞLİSİ"
719,35,"MENDERES"
720,42,"MERAM"
721,8,"MURGUL"
722,16,"NİLÜFER"
724,48,"ORTACA"
725,16,"OSMANGAZİ"
726,54,"PAMUKOVA"
727,60,"PAZAR"
728,34,"PENDİK"
729,37,"PINARBAŞI"
730,28,"PİRAZİZ"
731,55,"SALIPAZARI"
732,42,"SELÇUKLU"
733,20,"SERİNHİSAR"
734,27,"ŞAHİNBEY"
735,61,"ŞALPAZARI"
736,43,"ŞAPHANE"
737,27,"ŞEHİTKAMİL"
738,37,"ŞENPAZAR"
739,38,"TALAS"
740,54,"TARAKLI"
741,42,"TAŞKENT"
742,55,"TEKKEKÖY"
743,19,"UĞURLUDAĞ"
744,25,"UZUNDERE"
745,34,"ÜMRANİYE"
746,24,"ÜZÜMLÜ"
747,28,"YAĞLIDERE"
748,12,"YAYLADERE"
749,78,"YENİCE"
750,11,"YENİPAZAR"
751,60,"YEŞİLYURT"
752,16,"YILDIRIM"
753,68,"AĞAÇÖREN"
754,68,"GÜZELYURT"
755,70,"KAZIMKARABEKİR"
756,38,"KOCASİNAN"
757,38,"MELİKGAZİ"
758,25,"PAZARYOLU"
759,68,"SARIYAHŞİ"
760,37,"AĞLI"
761,42,"AHIRLI"
762,40,"AKÇAKENT"
763,58,"AKINCILAR"
764,20,"PAMUKKALE"
765,6,"AKYURT"
766,23,"ALACAKAYA"
767,15,"ALTINYAYLA"
768,58,"ALTINYAYLA"
769,51,"ALTUNHİSAR"
770,66,"AYDINCIK"
771,56,"TİLLO"
772,55,"AYVACIK"
773,71,"BAHŞİLİ"
774,20,"BAKLAN"
775,71,"BALIŞEYH"
776,60,"BAŞÇİFTLİK"
777,70,"BAŞYAYLA"
778,18,"BAYRAMÖREN"
779,34,"BAYRAMPAŞA"
780,31,"BELEN"
781,20,"BEYAĞAÇ"
782,20,"BOZKURT"
783,40,"BOZTEPE"
784,52,"ÇAMAŞ"
785,33,"ÇAMLIYAYLA"
786,28,"ÇAMOLUK"
787,28,"ÇANAKÇI"
788,66,"ÇANDIR"
789,61,"ÇARŞIBAŞI"
790,52,"ÇATALPINAR"
791,43,"ÇAVDARHİSAR"
792,15,"ÇAVDIR"
793,52,"ÇAYBAŞI"
794,71,"ÇELEBİ"
795,42,"ÇELTİK"
796,15,"ÇELTİKÇİ"
797,51,"ÇİFTLİK"
798,81,"ÇİLİMLİ"
799,3,"ÇOBANLAR"
800,42,"DERBENT"
801,53,"DEREPAZARI"
802,61,"DERNEKPAZARI"
803,57,"DİKMEN"
804,19,"DODURGA"
805,28,"DOĞANKENT"
806,58,"DOĞANŞAR"
807,44,"DOĞANYOL"
808,37,"DOĞANYURT"
809,14,"DÖRTDİVAN"
810,61,"DÜZKÖY"
811,65,"EDREMİT"
812,46,"EKİNÖZÜ"
813,42,"EMİRGAZİ"
814,68,"ESKİL"
815,6,"ETİMESGUT"
816,3,"EVCİLER"
817,6,"EVREN"
818,54,"FERİZLİ"
819,67,"GÖKÇEBEY"
820,58,"GÖLOVA"
821,10,"GÖMEÇ"
822,32,"GÖNEN"
823,28,"GÜCE"
824,73,"GÜÇLÜKONAK"
825,68,"GÜLAĞAÇ"
826,42,"GÜNEYSINIR"
827,26,"GÜNYÜZÜ"
828,16,"GÜRSU"
829,38,"HACILAR"
830,42,"HALKAPINAR"
831,5,"HAMAMÖZÜ"
832,26,"HAN"
833,37,"HANÖNÜ"
834,72,"HASANKEYF"
835,61,"HAYRAT"
836,53,"HEMŞİN"
837,3,"HOCALAR"
838,25,"AZİZİYE"
839,7,"İBRADI"
840,52,"İKİZCE"
841,11,"İNHİSAR"
842,53,"İYİDERE"
843,52,"KABADÜZ"
844,52,"KABATAŞ"
845,66,"KADIŞEHRİ"
846,44,"KALE"
847,71,"KARAKEÇİLİ"
848,54,"KARAPÜRÇEK"
849,27,"KARKAMIŞ"
850,9,"KARPUZLU"
851,48,"KAVAKLIDERE"
852,7,"KEMER"
853,16,"KESTEL"
854,3,"KIZILÖREN"
855,21,"KOCAKÖY"
856,18,"KORGUN"
857,49,"KORKUT"
858,45,"KÖPRÜBAŞI"
859,61,"KÖPRÜBAŞI"
860,25,"KÖPRÜKÖY"
861,9,"KÖŞK"
862,44,"KULUNCAK"
863,31,"KUMLU"
864,29,"KÜRTÜN"
865,19,"LAÇİN"
866,26,"MİHALGAZİ"
867,27,"NURDAĞI"
868,46,"NURHAK"
869,19,"OĞUZLAR"
870,24,"OTLUKBELİ"
871,38,"ÖZVATAN"
872,43,"PAZARLAR"
873,65,"SARAY"
874,57,"SARAYDÜZÜ"
875,66,"SARAYKENT"
876,70,"SARIVELİLER"
877,37,"SEYDİLER"
878,2,"SİNCİK"
879,54,"SÖĞÜTLÜ"
880,60,"SULUSARAY"
881,22,"SÜLOĞLU"
882,2,"TUT"
883,42,"TUZLUKÇU"
884,58,"ULAŞ"
885,71,"YAHŞİHAN"
886,55,"YAKAKENT"
887,42,"YALIHÜYÜK"
888,44,"YAZIHAN"
889,12,"YEDİSU"
890,14,"YENİÇAĞA"
891,66,"YENİFAKILI"
892,9,"DİDİM"
893,32,"YENİŞARBADEMLİ"
894,47,"YEŞİLLİ"
895,34,"AVCILAR"
896,34,"BAĞCILAR"
897,34,"BAHÇELİEVLER"
898,35,"BALÇOVA"
